model,strategy,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,completeness_score_mean,completeness_score_std,correctness_score_mean,correctness_score_std,hallucination_score_mean,hallucination_score_std
deepseek/deepseek-v3.2,chain-of-thought,0.882,0.119,0.763,0.128,0.814,0.108,4.636,0.384,4.111,0.726,4.764,0.317
deepseek/deepseek-v3.2,one-shot,0.925,0.096,0.895,0.112,0.908,0.099,4.649,0.379,4.107,0.719,4.876,0.284
deepseek/deepseek-v3.2,zero-shot,0.758,0.145,0.718,0.142,0.729,0.128,4.72,0.474,3.582,0.81,4.071,0.853
google/gemini-2.5-flash,chain-of-thought,0.876,0.099,0.679,0.103,0.762,0.093,4.867,0.222,4.093,0.823,4.831,0.359
google/gemini-2.5-flash,one-shot,0.9,0.122,0.852,0.128,0.874,0.122,4.764,0.365,3.76,0.787,4.858,0.306
google/gemini-2.5-flash,zero-shot,0.909,0.087,0.723,0.069,0.802,0.056,4.764,0.412,3.938,0.86,4.556,0.712
mistralai/devstral-2512:free,chain-of-thought,0.849,0.121,0.771,0.133,0.804,0.115,4.6,0.513,4.058,0.733,4.596,0.545
mistralai/devstral-2512:free,one-shot,0.919,0.1,0.88,0.123,0.898,0.109,4.578,0.553,3.92,0.804,4.853,0.38
mistralai/devstral-2512:free,zero-shot,0.873,0.142,0.745,0.129,0.799,0.12,4.644,0.4,3.733,0.836,4.671,0.54
openai/gpt-4o-mini,chain-of-thought,0.776,0.161,0.47,0.16,0.569,0.139,4.196,0.776,3.4,0.93,4.071,1.01
openai/gpt-4o-mini,one-shot,0.869,0.093,0.834,0.142,0.849,0.115,4.098,0.743,3.48,0.848,4.276,0.993
openai/gpt-4o-mini,zero-shot,0.868,0.1,0.38,0.07,0.524,0.076,4.418,0.649,3.738,0.919,4.547,0.705
z-ai/glm-4-32b,chain-of-thought,0.637,0.191,0.546,0.204,0.578,0.183,4.28,0.738,3.444,0.74,4.267,0.794
z-ai/glm-4-32b,one-shot,0.823,0.131,0.816,0.149,0.819,0.139,4.36,0.61,3.64,0.96,4.738,0.484
z-ai/glm-4-32b,zero-shot,0.739,0.163,0.654,0.177,0.682,0.159,4.253,0.799,2.858,0.623,3.769,1.023
