requirement_id,model,strategy,sample_index,f1_score,correctness_score,judge_summary,missing_elements,errors,fabricated_elements
REQ-01,google/gemini-2.5-flash,zero-shot,0,0.8205128205128205,3.8,"The UML diagram includes all required elements but contains a fundamental error in the multiplicities of the folder containment relationship, misrepresenting the requirements.",,,
REQ-01,google/gemini-2.5-flash,zero-shot,1,0.8108108108108107,4.2,"The UML class diagram is highly complete and accurate with no hallucinations, though the size attribute's type is a minor inaccuracy.",,,
REQ-01,google/gemini-2.5-flash,zero-shot,2,0.7567567567567567,3.8,The UML class diagram is largely complete and free of hallucinations but contains some modeling errors and a minor omission in relationship multiplicities.,,,
REQ-01,google/gemini-2.5-flash,zero-shot,3,0.8205128205128205,4.2,The UML class diagram fully and accurately captures all functional requirements for the file system elements without any omissions or fabrications.,,,
REQ-01,google/gemini-2.5-flash,zero-shot,4,0.8108108108108107,4.0,"The diagram is highly complete and accurate with no hallucinations, but includes a minor type inaccuracy for the size attribute.",,,
REQ-01,deepseek/deepseek-v3.2,zero-shot,0,0.7894736842105262,3.6,"The diagram is largely complete and correct with no hallucinations, but misses the last modification timestamp for File, slightly impacting its accuracy.",,,
REQ-01,deepseek/deepseek-v3.2,zero-shot,1,0.7317073170731706,3.8,The diagram is largely complete and accurate but has minor omissions in relationships and slight inaccuracies in modeling containment and timestamp associations.,,,
REQ-01,deepseek/deepseek-v3.2,zero-shot,2,0.7692307692307692,3.0,"The diagram is largely complete and accurate but misses the crucial last modification timestamp for File, affecting its correctness.",,,
REQ-01,deepseek/deepseek-v3.2,zero-shot,3,0.4285714285714285,3.6,"The diagram is highly complete and largely correct with no hallucinations, but includes a minor error in relationship type for folder containment.",,,
REQ-01,deepseek/deepseek-v3.2,zero-shot,4,0.85,3.0,"The diagram captures the core structure but has moderate omissions in attributes and relationships, along with significant correctness errors in multiplicities, and a few minor inferred methods.",,,
REQ-01,openai/gpt-4o-mini,zero-shot,0,0.5517241379310346,2.8,The diagram largely aligns with the requirements but includes an invalid self-inheritance and inconsistencies in modeling timestamps and folder containment.,,,Self-inheritance relationship 'FileSystemElement --|> FileSystemElement'
REQ-01,openai/gpt-4o-mini,zero-shot,1,0.4999999999999999,3.8,The diagram is largely accurate and complete but misses an explicit attribute for the creation timestamp in FileSystemElement and uses an association instead of composition for the timestamp relationship.,,,
REQ-01,openai/gpt-4o-mini,zero-shot,2,0.3846153846153846,4.0,The UML class diagram fully and accurately captures the specified requirements without any omissions or fabrications.,,,
REQ-01,openai/gpt-4o-mini,zero-shot,3,0.35714285714285715,2.2,The diagram captures most required elements but misrepresents the relationship between FileSystemElement and Timestamp as inheritance instead of association.,,,
REQ-01,openai/gpt-4o-mini,zero-shot,4,0.4285714285714285,3.8,The UML class diagram is largely complete and correct but has minor omissions in relationships and inconsistencies in modeling timestamps and containment.,,,
REQ-01,z-ai/glm-4-32b,zero-shot,0,0.35714285714285715,3.2,"The diagram is highly complete but contains significant errors in inheritance representation, with no unsupported additions.",,,
REQ-01,z-ai/glm-4-32b,zero-shot,1,0.8000000000000002,2.8,"The diagram captures most required elements but has moderate issues with relationship direction, multiplicity, and type, leading to a somewhat inaccurate representation of the file system containment.",,,
REQ-01,z-ai/glm-4-32b,zero-shot,2,0.85,3.0,The diagram is largely aligned with the requirements but has moderate gaps in completeness and some accuracy issues due to missing inheritance and an extra relationship.,,,
REQ-01,z-ai/glm-4-32b,zero-shot,3,0.7,2.4,"The diagram captures most required elements but suffers from significant directional errors in relationships and lacks precise multiplicities, resulting in a moderately complete but largely incorrect representation.",,,
REQ-01,z-ai/glm-4-32b,zero-shot,4,0.85,2.6,"The diagram is largely complete but contains a fundamental error in relationship direction and an unsupported extra relationship, leading to misrepresentation of the file system containment.",,,
REQ-01,mistralai/devstral-2512:free,zero-shot,0,0.7804878048780488,3.8,"The UML class diagram fully and accurately captures all specified entities, attributes, relationships, and methods from the requirements without any omissions or fabrications.",,,
REQ-01,mistralai/devstral-2512:free,zero-shot,1,0.85,4.0,The UML class diagram fully and accurately captures all functional requirements without any omissions or fabrications.,,,
REQ-01,mistralai/devstral-2512:free,zero-shot,2,0.8000000000000002,3.6,The UML class diagram is largely complete and free of hallucinations but contains correctness issues with relationship multiplicities and a minor omission in associations.,,,
REQ-01,mistralai/devstral-2512:free,zero-shot,3,0.8000000000000002,3.8,The UML class diagram is highly complete and free of hallucinations but has minor correctness issues in relationship modeling.,,,
REQ-01,mistralai/devstral-2512:free,zero-shot,4,0.8000000000000002,3.8,The diagram is largely accurate but has moderate gaps in relationships and some inconsistencies in association representation.,,,
REQ-01,google/gemini-2.5-flash,one-shot,0,0.8717948717948718,4.4,"The UML class diagram fully and accurately captures all functional requirements without any omissions, errors, or unsupported additions.",,,
REQ-01,google/gemini-2.5-flash,one-shot,1,0.8717948717948718,4.0,The diagram is highly complete and free of hallucinations but has some correctness issues with attribute types and relationship kinds.,,,
REQ-01,google/gemini-2.5-flash,one-shot,2,0.8717948717948718,3.8,The diagram is highly complete but has moderate correctness issues in relationship modeling and a minor type inference for size.,,,
REQ-01,google/gemini-2.5-flash,one-shot,3,0.85,3.4,"The diagram is highly complete but suffers from significant correctness issues in relationship types and multiplicities, with no hallucinations.",,,
REQ-01,google/gemini-2.5-flash,one-shot,4,0.85,3.8,"The UML class diagram is highly complete and largely correct with no hallucinations, though it has minor inaccuracies in multiplicities and attribute types.",,,
