requirement_id,model,strategy,f1_score,precision,recall,completeness_score,correctness_score,hallucination_score
REQ-01,google/gemini-2.5-flash,zero-shot,0.8205128205128205,0.8421052631578947,0.8,5.0,3.8,5.0
REQ-01,google/gemini-2.5-flash,zero-shot,0.8108108108108107,0.8823529411764706,0.75,5.0,4.2,5.0
REQ-01,google/gemini-2.5-flash,zero-shot,0.7567567567567567,0.8235294117647058,0.7,4.4,3.8,4.8
REQ-01,google/gemini-2.5-flash,zero-shot,0.8205128205128205,0.8421052631578947,0.8,5.0,4.2,4.6
REQ-01,google/gemini-2.5-flash,zero-shot,0.8108108108108107,0.8823529411764706,0.75,5.0,4.0,5.0
REQ-01,deepseek/deepseek-v3.2,zero-shot,0.7894736842105262,0.8333333333333334,0.75,3.6,3.6,4.4
REQ-01,deepseek/deepseek-v3.2,zero-shot,0.7317073170731706,0.7142857142857143,0.75,4.4,3.8,5.0
REQ-01,deepseek/deepseek-v3.2,zero-shot,0.7692307692307692,0.7894736842105263,0.75,3.8,3.0,4.4
REQ-01,deepseek/deepseek-v3.2,zero-shot,0.4285714285714285,0.75,0.3,4.8,3.6,4.2
REQ-01,deepseek/deepseek-v3.2,zero-shot,0.85,0.85,0.85,4.0,3.0,4.0
REQ-01,openai/gpt-4o-mini,zero-shot,0.5517241379310346,0.8888888888888888,0.4,3.4,2.8,3.0
REQ-01,openai/gpt-4o-mini,zero-shot,0.4999999999999999,0.875,0.35,3.8,3.8,5.0
REQ-01,openai/gpt-4o-mini,zero-shot,0.3846153846153846,0.8333333333333334,0.25,4.8,4.0,4.0
REQ-01,openai/gpt-4o-mini,zero-shot,0.35714285714285715,0.625,0.25,4.4,2.2,2.8
REQ-01,openai/gpt-4o-mini,zero-shot,0.4285714285714285,0.75,0.3,4.0,3.8,5.0
REQ-01,z-ai/glm-4-32b,zero-shot,0.35714285714285715,0.625,0.25,4.4,3.2,5.0
REQ-01,z-ai/glm-4-32b,zero-shot,0.8000000000000002,0.8,0.8,4.0,2.8,3.6
REQ-01,z-ai/glm-4-32b,zero-shot,0.85,0.85,0.85,3.8,3.0,3.0
REQ-01,z-ai/glm-4-32b,zero-shot,0.7,0.7,0.7,3.4,2.4,5.0
